Train,Test,Features,Classifier,Scaler,Eval-mode,Accuracy,Sensitivity,Specificity
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool-ax-gs-f,GaussianNB,Z-score,4-fold,53.87045813586098,36.7816091954023,65.86021505376344
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool-ax-gs-f,LogisticRegression,None,4-fold,58.767772511848335,0.0,100.0
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool-ax-gs-f,LogisticRegression,MinMax,4-fold,58.60979462875198,42.1455938697318,70.16129032258065
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool-ax-gs-f,LogisticRegression,Z-score,4-fold,56.39810426540285,46.74329501915709,63.17204301075269
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool-ax-gs-f,LinearClassifier,None,4-fold,51.81674565560821,52.87356321839081,51.075268817204304
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool-ax-gs-f,LinearClassifier,MinMax,4-fold,55.29225908372828,42.1455938697318,64.51612903225806
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool-ax-gs-f,LinearClassifier,Z-score,4-fold,59.71563981042654,33.33333333333333,78.2258064516129
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool-ax-gs-br,1-NN-L2,None,4-fold,51.65876777251185,43.29501915708812,57.52688172043011
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool-ax-gs-br,1-NN-L2,MinMax,4-fold,49.447077409162716,39.08045977011494,56.72043010752689
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool-ax-gs-br,1-NN-L2,Z-score,4-fold,49.447077409162716,39.46360153256705,56.451612903225815
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool-ax-gs-br,GaussianNB,None,4-fold,52.29067930489732,65.90038314176245,42.74193548387097
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool-ax-gs-br,GaussianNB,MinMax,4-fold,51.342812006319114,67.04980842911877,40.32258064516129
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool-ax-gs-br,GaussianNB,Z-score,4-fold,51.81674565560821,68.5823754789272,40.053763440860216
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool-ax-gs-br,LogisticRegression,None,4-fold,58.767772511848335,0.0,100.0
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool-ax-gs-br,LogisticRegression,MinMax,4-fold,57.50394944707741,43.29501915708812,67.47311827956989
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool-ax-gs-br,LogisticRegression,Z-score,4-fold,53.712480252764614,44.44444444444444,60.215053763440864
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool-ax-gs-br,LinearClassifier,None,4-fold,51.81674565560821,52.87356321839081,51.075268817204304
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool-ax-gs-br,LinearClassifier,MinMax,4-fold,54.02843601895735,33.71647509578544,68.27956989247312
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool-ax-gs-br,LinearClassifier,Z-score,4-fold,54.66034755134282,30.65134099616858,71.50537634408603
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax-sag-cor--pcl-f,1-NN-L2,None,4-fold,59.71563981042654,50.57471264367817,66.12903225806451
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax-sag-cor--pcl-f,1-NN-L2,MinMax,4-fold,58.767772511848335,33.71647509578544,76.34408602150538
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax-sag-cor--pcl-f,1-NN-L2,Z-score,4-fold,61.7693522906793,32.95019157088122,81.98924731182797
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax-sag-cor--pcl-f,GaussianNB,None,4-fold,63.03317535545023,57.47126436781609,66.93548387096774
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax-sag-cor--pcl-f,GaussianNB,MinMax,4-fold,63.507109004739334,58.620689655172406,66.93548387096774
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax-sag-cor--pcl-f,GaussianNB,Z-score,4-fold,63.507109004739334,59.38697318007663,66.39784946236558
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax-sag-cor--pcl-f,LogisticRegression,None,4-fold,58.767772511848335,0.0,100.0
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax-sag-cor--pcl-f,LogisticRegression,MinMax,4-fold,70.14218009478674,60.15325670498084,77.15053763440861
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax-sag-cor--pcl-f,LogisticRegression,Z-score,4-fold,68.4044233807267,65.13409961685824,70.6989247311828
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax-sag-cor--pcl-f,LinearClassifier,None,4-fold,51.81674565560821,52.87356321839081,51.075268817204304
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax-sag-cor--pcl-f,LinearClassifier,MinMax,4-fold,69.66824644549763,62.45210727969349,74.73118279569893
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax-sag-cor--pcl-f,LinearClassifier,Z-score,4-fold,67.77251184834124,50.191570881226056,80.10752688172043
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax-sag-cor--pcl-br,1-NN-L2,None,4-fold,75.51342812006318,70.11494252873564,79.3010752688172
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax-sag-cor--pcl-br,1-NN-L2,MinMax,4-fold,75.19747235387045,67.43295019157088,80.64516129032258
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax-sag-cor--pcl-br,1-NN-L2,Z-score,4-fold,73.1437598736177,67.43295019157088,77.15053763440861
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax-sag-cor--pcl-br,GaussianNB,None,4-fold,74.88151658767772,84.67432950191571,68.01075268817203
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax-sag-cor--pcl-br,GaussianNB,MinMax,4-fold,71.7219589257504,81.99233716475096,64.51612903225806
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax-sag-cor--pcl-br,GaussianNB,Z-score,4-fold,71.09004739336493,81.99233716475096,63.44086021505376
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax-sag-cor--pcl-br,LogisticRegression,None,4-fold,58.767772511848335,0.0,100.0
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax-sag-cor--pcl-br,LogisticRegression,MinMax,4-fold,82.30647709320695,78.9272030651341,84.67741935483872
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax-sag-cor--pcl-br,LogisticRegression,Z-score,4-fold,79.14691943127961,77.77777777777779,80.10752688172043
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax-sag-cor--pcl-br,LinearClassifier,None,4-fold,77.40916271721959,79.3103448275862,76.0752688172043
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax-sag-cor--pcl-br,LinearClassifier,MinMax,4-fold,78.19905213270142,72.79693486590038,81.98924731182797
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax-sag-cor--pcl-br,LinearClassifier,Z-score,4-fold,79.77883096366509,73.18007662835248,84.40860215053763
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax--pca-f,1-NN-L2,None,4-fold,56.08214849921011,38.69731800766284,68.27956989247312
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax--pca-f,1-NN-L2,MinMax,4-fold,59.3996840442338,43.29501915708812,70.6989247311828
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax--pca-f,1-NN-L2,Z-score,4-fold,58.29383886255924,30.268199233716476,77.95698924731182
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax--pca-f,GaussianNB,None,4-fold,59.08372827804107,56.32183908045977,61.02150537634409
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax--pca-f,GaussianNB,MinMax,4-fold,57.66192733017378,61.30268199233716,55.107526881720425
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax--pca-f,GaussianNB,Z-score,4-fold,57.50394944707741,62.06896551724138,54.3010752688172
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax--pca-f,LogisticRegression,None,4-fold,58.767772511848335,0.0,100.0
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax--pca-f,LogisticRegression,MinMax,4-fold,63.03317535545023,55.938697318007655,68.01075268817203
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax--pca-f,LogisticRegression,Z-score,4-fold,59.55766192733017,57.47126436781609,61.02150537634409
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax--pca-f,LinearClassifier,None,4-fold,57.030015797788316,31.03448275862069,75.26881720430107
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax--pca-f,LinearClassifier,MinMax,4-fold,58.767772511848335,52.87356321839081,62.903225806451616
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax--pca-f,LinearClassifier,Z-score,4-fold,59.87361769352291,38.69731800766284,74.73118279569893
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax--pca-br,1-NN-L2,None,4-fold,75.19747235387045,68.19923371647509,80.10752688172043
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax--pca-br,1-NN-L2,MinMax,4-fold,76.30331753554502,68.5823754789272,81.72043010752688
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax--pca-br,1-NN-L2,Z-score,4-fold,75.19747235387045,66.66666666666666,81.18279569892472
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax--pca-br,GaussianNB,None,4-fold,73.30173775671406,82.75862068965517,66.66666666666666
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax--pca-br,GaussianNB,MinMax,4-fold,70.7740916271722,81.22605363984674,63.44086021505376
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax--pca-br,GaussianNB,Z-score,4-fold,70.7740916271722,81.22605363984674,63.44086021505376
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax--pca-br,LogisticRegression,None,4-fold,58.767772511848335,0.0,100.0
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax--pca-br,LogisticRegression,MinMax,4-fold,83.41232227488152,78.16091954022988,87.09677419354838
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax--pca-br,LogisticRegression,Z-score,4-fold,79.30489731437599,75.09578544061303,82.25806451612904
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax--pca-br,LinearClassifier,None,4-fold,79.30489731437599,76.24521072796935,81.45161290322581
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax--pca-br,LinearClassifier,MinMax,4-fold,80.41074249605056,70.88122605363985,87.09677419354838
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool--ax--pca-br,LinearClassifier,Z-score,4-fold,78.83096366508688,71.64750957854406,83.87096774193549
